Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
11;71;Goutte-d'Or;3;Avant 1946;meublé;26.2;31.44;18.34;2021;PARIS;7511871
5;36;Rochechouart;3;Avant 1946;non meublé;23.2;27.84;16.24;2021;PARIS;7510936
9;46;Picpus;4;Apres 1990;meublé;22.8;27.36;15.96;2021;PARIS;7511246
11;39;Porte-Saint-Martin;1;1971-1990;meublé;29.3;35.16;20.51;2021;PARIS;7511039
11;43;Roquette;4;1971-1990;meublé;23.3;27.96;16.31;2021;PARIS;7511143
1;26;Invalides;1;1971-1990;non meublé;32.8;39.36;22.96;2021;PARIS;7510726
12;56;Plaisance;4;1971-1990;meublé;24.4;29.28;17.08;2021;PARIS;7511456
11;68;Epinettes;2;1971-1990;meublé;26.2;31.44;18.34;2021;PARIS;7511768
9;46;Picpus;3;Avant 1946;non meublé;21.9;26.28;15.33;2021;PARIS;7511246
1;26;Invalides;2;Avant 1946;meublé;32.3;38.76;22.61;2021;PARIS;7510726
2;22;Odeon;4;Avant 1946;non meublé;25.8;30.96;18.06;2021;PARIS;7510622
8;57;Saint-Lambert;1;1971-1990;meublé;28.0;33.6;19.6;2021;PARIS;7511557
11;39;Porte-Saint-Martin;1;Avant 1946;non meublé;28.6;34.32;20.02;2021;PARIS;7511039
1;28;Gros-Caillou;3;1946-1970;meublé;29.1;34.92;20.37;2021;PARIS;7510728
5;37;Saint-Vincent-de-Paul;1;Apres 1990;meublé;32.3;38.76;22.61;2021;PARIS;7511037
10;49;Salpêtrière;3;1946-1970;non meublé;21.3;25.56;14.91;2021;PARIS;7511349
5;52;Croulebarbe;2;1971-1990;non meublé;22.5;27.0;15.75;2021;PARIS;7511352
6;65;Ternes;1;1971-1990;non meublé;28.8;34.56;20.16;2021;PARIS;7511765
6;66;Plaine de Monceaux;1;Avant 1946;non meublé;28.8;34.56;20.16;2021;PARIS;7511766
10;18;Jardin-des-Plantes;3;Avant 1946;non meublé;23.8;28.56;16.66;2021;PARIS;7510518
1;27;Ecole-Militaire;3;1971-1990;meublé;30.6;36.72;21.42;2021;PARIS;7510727
14;76;Combat;2;Avant 1946;meublé;25.9;31.08;18.13;2021;PARIS;7511976
1;23;Notre-Dame-des-Champs;3;1971-1990;non meublé;27.2;32.64;19.04;2021;PARIS;7510623
2;3;Palais-Royal;1;Apres 1990;non meublé;33.1;39.72;23.17;2021;PARIS;7510103
4;6;Vivienne;1;1971-1990;non meublé;30.7;36.84;21.49;2021;PARIS;7510206
1;25;Saint-Thomas-d'Aquin;1;1946-1970;non meublé;32.8;39.36;22.96;2021;PARIS;7510725
1;23;Notre-Dame-des-Champs;4;Avant 1946;non meublé;28.6;34.32;20.02;2021;PARIS;7510623
4;8;Bonne-Nouvelle;2;Apres 1990;meublé;27.2;32.64;19.04;2021;PARIS;7510208
13;78;Saint-Fargeau;4;Apres 1990;meublé;18.7;22.44;13.09;2021;PARIS;7512078
4;11;Archives;3;Avant 1946;meublé;27.8;33.4;19.5;2019;PARIS;7510311
10;18;Jardin-des-Plantes;4;Avant 1946;meublé;23.7;28.4;16.6;2019;PARIS;7510518
3;62;Muette;2;1971-1990;non meublé;26.4;31.7;18.5;2019;PARIS;7511662
2;16;Notre-Dame;3;1971-1990;meublé;25.1;30.1;17.6;2019;PARIS;7510416
3;62;Muette;4;1971-1990;meublé;27.6;33.1;19.3;2019;PARIS;7511662
10;67;Batignolles;4;1971-1990;non meublé;21.6;25.9;15.1;2019;PARIS;7511767
7;61;Auteuil;3;Apres 1990;non meublé;24.1;28.9;16.9;2019;PARIS;7511661
10;67;Batignolles;1;1971-1990;non meublé;26.2;31.4;18.3;2019;PARIS;7511767
1;23;Notre-Dame-des-Champs;3;1946-1970;non meublé;24.8;29.8;17.4;2019;PARIS;7510623
6;58;Necker;2;Apres 1990;non meublé;24.9;29.9;17.4;2019;PARIS;7511558
