Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
1;28;Gros-Caillou;1;1946-1970;non meublé;30.1;36.1;21.1;2019;PARIS;7510728
5;36;Rochechouart;3;Apres 1990;non meublé;23.9;28.7;16.7;2019;PARIS;7510936
14;76;Combat;2;1971-1990;meublé;21.0;25.2;14.7;2019;PARIS;7511976
3;32;Europe;3;Apres 1990;non meublé;23.4;28.1;16.4;2019;PARIS;7510832
13;74;Pont-de-Flandre;2;Avant 1946;meublé;24.6;29.5;17.2;2019;PARIS;7511974
6;65;Ternes;1;1946-1970;non meublé;26.7;32.0;18.7;2019;PARIS;7511765
2;1;St-Germain-l'Auxerrois;1;1971-1990;meublé;31.5;37.8;22.05;2020;PARIS;7510101
5;2;Halles;3;1946-1970;meublé;22.9;27.48;16.03;2020;PARIS;7510102
2;1;St-Germain-l'Auxerrois;3;Apres 1990;meublé;27.7;33.24;19.39;2020;PARIS;7510101
2;1;St-Germain-l'Auxerrois;3;1971-1990;non meublé;22.3;26.76;15.61;2020;PARIS;7510101
5;38;Porte-Saint-Denis;1;1971-1990;non meublé;26.3;31.6;18.4;2019;PARIS;7511038
4;9;Arts-et-Metiers;4;Avant 1946;meublé;28.0;33.6;19.6;2019;PARIS;7510309
4;14;Saint-Gervais;4;Avant 1946;meublé;28.0;33.6;19.6;2019;PARIS;7510414
5;2;Halles;1;1971-1990;non meublé;26.8;32.16;18.76;2020;PARIS;7510102
2;4;Place-Vendôme;1;1946-1970;meublé;36.0;43.2;25.2;2020;PARIS;7510104
2;3;Palais-Royal;4;Avant 1946;meublé;28.9;34.68;20.23;2020;PARIS;7510103
2;4;Place-Vendôme;4;Avant 1946;non meublé;25.6;30.72;17.92;2020;PARIS;7510104
2;4;Place-Vendôme;4;1946-1970;non meublé;22.9;27.48;16.03;2020;PARIS;7510104
2;5;Gaillon;2;Avant 1946;meublé;31.9;38.28;22.33;2020;PARIS;7510205
4;7;Mail;2;Avant 1946;non meublé;27.7;33.24;19.39;2020;PARIS;7510207
4;7;Mail;2;Apres 1990;meublé;28.7;34.44;20.09;2020;PARIS;7510207
4;8;Bonne-Nouvelle;4;1946-1970;meublé;26.0;31.2;18.2;2020;PARIS;7510208
4;10;Enfants-Rouges;1;Avant 1946;non meublé;31.1;37.32;21.77;2020;PARIS;7510310
4;11;Archives;1;Avant 1946;non meublé;31.1;37.32;21.77;2020;PARIS;7510311
4;11;Archives;4;1946-1970;non meublé;23.0;27.6;16.1;2020;PARIS;7510311
2;13;Saint-Merri;4;1971-1990;meublé;25.1;30.12;17.57;2020;PARIS;7510413
10;18;Jardin-des-Plantes;4;Apres 1990;meublé;26.6;31.92;18.62;2020;PARIS;7510518
4;14;Saint-Gervais;3;Apres 1990;meublé;26.0;31.2;18.2;2020;PARIS;7510414
4;12;Sainte-Avoie;4;1946-1970;non meublé;23.0;27.6;16.1;2020;PARIS;7510312
4;17;Saint-Victor;2;1946-1970;non meublé;22.8;27.36;15.96;2020;PARIS;7510517
2;15;Arsenal;4;Avant 1946;non meublé;25.6;30.72;17.92;2020;PARIS;7510415
4;12;Sainte-Avoie;1;1946-1970;non meublé;29.8;35.76;20.86;2020;PARIS;7510312
2;15;Arsenal;2;1971-1990;non meublé;25.3;30.36;17.71;2020;PARIS;7510415
2;13;Saint-Merri;1;Avant 1946;meublé;37.0;44.4;25.9;2020;PARIS;7510413
2;13;Saint-Merri;1;Apres 1990;meublé;36.3;43.56;25.41;2020;PARIS;7510413
2;15;Arsenal;1;Apres 1990;non meublé;32.1;38.52;22.47;2020;PARIS;7510415
10;18;Jardin-des-Plantes;1;1946-1970;meublé;27.6;33.12;19.32;2020;PARIS;7510518
2;21;Monnaie;2;Apres 1990;meublé;30.2;36.24;21.14;2020;PARIS;7510621
1;23;Notre-Dame-des-Champs;3;1971-1990;non meublé;26.3;31.56;18.41;2020;PARIS;7510623
2;21;Monnaie;1;Avant 1946;meublé;37.0;44.4;25.9;2020;PARIS;7510621
4;19;Val-de-Grace;4;1946-1970;non meublé;23.0;27.6;16.1;2020;PARIS;7510519
1;26;Invalides;4;1971-1990;non meublé;24.5;29.4;17.15;2020;PARIS;7510726
1;27;Ecole-Militaire;1;Avant 1946;non meublé;31.7;38.04;22.19;2020;PARIS;7510727
2;24;Saint-Germain-des-Prés;1;1971-1990;non meublé;27.9;33.48;19.53;2020;PARIS;7510624
2;24;Saint-Germain-des-Prés;2;Avant 1946;non meublé;28.2;33.84;19.74;2020;PARIS;7510624
1;23;Notre-Dame-des-Champs;4;1971-1990;non meublé;24.5;29.4;17.15;2020;PARIS;7510623
5;38;Porte-Saint-Denis;2;1946-1970;non meublé;23.7;28.44;16.59;2020;PARIS;7511038
10;42;Saint-Ambroise;3;1946-1970;non meublé;20.7;24.84;14.49;2020;PARIS;7511142
2;29;Champs-Elysées;2;Apres 1990;meublé;30.2;36.24;21.14;2020;PARIS;7510829
11;48;Quinze-Vingts;1;1971-1990;meublé;28.7;34.44;20.09;2020;PARIS;7511248
3;32;Europe;2;1971-1990;non meublé;26.9;32.28;18.83;2020;PARIS;7510832
5;38;Porte-Saint-Denis;3;Avant 1946;non meublé;22.8;27.36;15.96;2020;PARIS;7511038
10;42;Saint-Ambroise;4;Apres 1990;non meublé;23.5;28.2;16.45;2020;PARIS;7511142
5;33;Saint-Georges;4;1971-1990;meublé;24.5;29.4;17.15;2020;PARIS;7510933
5;37;Saint-Vincent-de-Paul;2;1946-1970;non meublé;23.7;28.44;16.59;2020;PARIS;7511037
10;42;Saint-Ambroise;1;Apres 1990;meublé;32.8;39.36;22.96;2020;PARIS;7511142
5;37;Saint-Vincent-de-Paul;4;1971-1990;non meublé;21.7;26.04;15.19;2020;PARIS;7511037
10;49;Salpêtrière;2;1971-1990;non meublé;22.3;26.76;15.61;2020;PARIS;7511349
11;43;Roquette;3;1946-1970;non meublé;18.9;22.68;13.23;2020;PARIS;7511143
3;32;Europe;1;1946-1970;meublé;32.0;38.4;22.4;2020;PARIS;7510832
2;30;Faubourg-du-Roule;4;Apres 1990;non meublé;26.2;31.44;18.34;2020;PARIS;7510830
5;35;Faubourg-Montmartre;3;Avant 1946;meublé;25.8;30.96;18.06;2020;PARIS;7510935
11;39;Porte-Saint-Martin;1;Avant 1946;meublé;31.8;38.16;22.26;2020;PARIS;7511039
10;44;Sainte-Marguerite;2;1946-1970;non meublé;21.4;25.68;14.98;2020;PARIS;7511144
1;26;Invalides;3;Avant 1946;non meublé;26.4;31.68;18.48;2020;PARIS;7510726
5;38;Porte-Saint-Denis;4;Apres 1990;non meublé;20.4;24.48;14.28;2020;PARIS;7511038
11;43;Roquette;2;1946-1970;non meublé;22.1;26.52;15.47;2020;PARIS;7511143
5;36;Rochechouart;2;1946-1970;non meublé;23.7;28.44;16.59;2020;PARIS;7510936
5;37;Saint-Vincent-de-Paul;4;Avant 1946;non meublé;20.1;24.12;14.07;2020;PARIS;7511037
9;46;Picpus;3;Apres 1990;meublé;24.5;29.4;17.15;2020;PARIS;7511246
2;29;Champs-Elysées;4;Apres 1990;meublé;29.6;35.52;20.72;2020;PARIS;7510829
5;36;Rochechouart;1;Apres 1990;meublé;31.5;37.8;22.05;2020;PARIS;7510936
1;28;Gros-Caillou;3;Avant 1946;non meublé;26.4;31.68;18.48;2020;PARIS;7510728
2;34;Chaussée-d'Antin;4;1971-1990;meublé;25.1;30.12;17.57;2020;PARIS;7510934
11;39;Porte-Saint-Martin;3;1971-1990;non meublé;19.7;23.64;13.79;2020;PARIS;7511039
4;20;Sorbonne;3;Apres 1990;non meublé;23.0;27.6;16.1;2020;PARIS;7510520
11;39;Porte-Saint-Martin;4;Apres 1990;meublé;21.9;26.28;15.33;2020;PARIS;7511039
11;39;Porte-Saint-Martin;3;1946-1970;non meublé;18.9;22.68;13.23;2020;PARIS;7511039
11;41;Folie-Méricourt;3;1971-1990;meublé;22.3;26.76;15.61;2020;PARIS;7511141
11;41;Folie-Méricourt;1;1971-1990;meublé;28.7;34.44;20.09;2020;PARIS;7511141
2;30;Faubourg-du-Roule;1;Apres 1990;meublé;36.3;43.56;25.41;2020;PARIS;7510830
11;41;Folie-Méricourt;1;Avant 1946;non meublé;28.1;33.72;19.67;2020;PARIS;7511141
5;37;Saint-Vincent-de-Paul;3;Avant 1946;non meublé;22.8;27.36;15.96;2020;PARIS;7511037
11;43;Roquette;4;1971-1990;meublé;23.4;28.08;16.38;2020;PARIS;7511143
6;66;Plaine de Monceaux;2;1946-1970;non meublé;24.5;29.4;17.15;2020;PARIS;7511766
7;59;Grenelle;4;1946-1970;non meublé;21.4;25.68;14.98;2020;PARIS;7511559
7;59;Grenelle;4;Apres 1990;meublé;26.4;31.68;18.48;2020;PARIS;7511559
8;57;Saint-Lambert;2;1946-1970;non meublé;21.5;25.8;15.05;2020;PARIS;7511557
7;60;Javel 15Art;4;1971-1990;meublé;24.2;29.04;16.94;2020;PARIS;7511560
7;61;Auteuil;4;Avant 1946;non meublé;22.6;27.12;15.82;2020;PARIS;7511661
6;66;Plaine de Monceaux;4;Apres 1990;meublé;27.9;33.48;19.53;2020;PARIS;7511766
5;53;Montparnasse;2;Avant 1946;non meublé;24.7;29.64;17.29;2020;PARIS;7511453
13;50;Gare;3;Apres 1990;meublé;20.3;24.36;14.21;2020;PARIS;7511350
11;68;Epinettes;1;Apres 1990;non meublé;24.1;28.92;16.87;2020;PARIS;7511768
6;58;Necker;4;Avant 1946;meublé;26.7;32.04;18.69;2020;PARIS;7511558
11;68;Epinettes;2;1946-1970;meublé;25.0;30.0;17.5;2020;PARIS;7511768
12;51;Maison-Blanche;3;Apres 1990;non meublé;22.9;27.48;16.03;2020;PARIS;7511351
10;55;Petit-Montrouge;4;1946-1970;meublé;23.3;27.96;16.31;2020;PARIS;7511455
10;67;Batignolles;1;Avant 1946;non meublé;29.0;34.8;20.3;2020;PARIS;7511767
11;54;Parc-de-Montsouris;4;1971-1990;meublé;23.4;28.08;16.38;2020;PARIS;7511454
6;65;Ternes;4;Avant 1946;non meublé;23.6;28.32;16.52;2020;PARIS;7511765
7;60;Javel 15Art;2;1971-1990;non meublé;23.4;28.08;16.38;2020;PARIS;7511560
11;68;Epinettes;4;Apres 1990;non meublé;19.4;23.28;13.58;2020;PARIS;7511768
3;63;Porte-Dauphine;4;1971-1990;non meublé;24.9;29.88;17.43;2020;PARIS;7511663
12;51;Maison-Blanche;1;1971-1990;non meublé;25.6;30.72;17.92;2020;PARIS;7511351
11;54;Parc-de-Montsouris;2;Avant 1946;meublé;27.3;32.76;19.11;2020;PARIS;7511454
10;55;Petit-Montrouge;2;1946-1970;non meublé;21.4;25.68;14.98;2020;PARIS;7511455
11;71;Goutte-d'Or;2;1971-1990;meublé;25.9;31.08;18.13;2020;PARIS;7511871
9;70;Clignancourt;2;Avant 1946;non meublé;23.2;27.84;16.24;2020;PARIS;7511870
4;7;Mail;2;Apres 1990;non meublé;25.4;30.48;17.78;2020;PARIS;7510207
14;79;Père-Lachaise;1;1946-1970;non meublé;23.8;28.56;16.66;2020;PARIS;7512079
11;71;Goutte-d'Or;3;1946-1970;non meublé;18.9;22.68;13.23;2020;PARIS;7511871
11;71;Goutte-d'Or;4;1946-1970;meublé;24.4;29.28;17.08;2020;PARIS;7511871
13;80;Charonne;4;Apres 1990;meublé;18.5;22.2;12.95;2020;PARIS;7512080
13;73;Villette;2;1971-1990;meublé;20.2;24.24;14.14;2020;PARIS;7511973
13;75;Amérique;3;1946-1970;non meublé;16.5;19.8;11.55;2020;PARIS;7511975
6;66;Plaine de Monceaux;2;Apres 1990;non meublé;24.0;28.8;16.8;2020;PARIS;7511766
6;65;Ternes;3;1946-1970;meublé;25.3;30.36;17.71;2020;PARIS;7511765
14;79;Père-Lachaise;4;Apres 1990;non meublé;21.1;25.32;14.77;2020;PARIS;7512079
11;71;Goutte-d'Or;4;Avant 1946;meublé;24.2;29.04;16.94;2020;PARIS;7511871
9;70;Clignancourt;2;Apres 1990;meublé;26.6;31.92;18.62;2020;PARIS;7511870
13;78;Saint-Fargeau;4;Apres 1990;meublé;18.5;22.2;12.95;2020;PARIS;7512078
14;45;Bel-Air;1;1971-1990;non meublé;23.1;27.72;16.17;2020;PARIS;7511245
13;75;Amérique;3;Avant 1946;meublé;23.1;27.72;16.17;2020;PARIS;7511975
6;65;Ternes;3;Avant 1946;meublé;28.0;33.6;19.6;2020;PARIS;7511765
13;72;La Chapelle;4;1971-1990;non meublé;15.0;18.0;10.5;2020;PARIS;7511872
11;71;Goutte-d'Or;3;Apres 1990;non meublé;20.9;25.08;14.63;2020;PARIS;7511871
11;71;Goutte-d'Or;1;Avant 1946;non meublé;28.1;33.72;19.67;2020;PARIS;7511871
11;77;Belleville;2;1946-1970;meublé;25.0;30.0;17.5;2020;PARIS;7512077
11;68;Epinettes;1;Avant 1946;meublé;31.8;38.16;22.26;2020;PARIS;7511768
14;76;Combat;2;1971-1990;non meublé;19.3;23.16;13.51;2020;PARIS;7511976
13;80;Charonne;1;1971-1990;meublé;23.7;28.4;16.6;2019;PARIS;7512080
5;33;Saint-Georges;3;Apres 1990;meublé;27.0;32.4;18.9;2019;PARIS;7510933
11;39;Porte-Saint-Martin;3;Avant 1946;non meublé;22.6;27.1;15.8;2019;PARIS;7511039
5;36;Rochechouart;4;1946-1970;non meublé;21.0;25.2;14.7;2019;PARIS;7510936
3;63;Porte-Dauphine;3;Avant 1946;non meublé;24.0;28.8;16.8;2019;PARIS;7511663
2;21;Monnaie;4;1971-1990;non meublé;22.0;26.4;15.4;2019;PARIS;7510621
10;44;Sainte-Marguerite;3;1946-1970;non meublé;20.4;24.5;14.3;2019;PARIS;7511144
7;61;Auteuil;1;Avant 1946;non meublé;27.2;32.6;19.0;2019;PARIS;7511661
13;50;Gare;3;Avant 1946;meublé;22.8;27.4;16.0;2019;PARIS;7511350
11;77;Belleville;2;Avant 1946;non meublé;23.8;28.6;16.7;2019;PARIS;7512077
4;11;Archives;4;Avant 1946;non meublé;24.8;29.8;17.4;2019;PARIS;7510311
6;66;Plaine de Monceaux;3;1946-1970;meublé;25.3;30.4;17.7;2019;PARIS;7511766
2;15;Arsenal;1;1946-1970;non meublé;31.5;37.8;22.05;2021;PARIS;7510415
10;67;Batignolles;4;1971-1990;meublé;25.0;30.0;17.5;2021;PARIS;7511767
8;57;Saint-Lambert;4;Avant 1946;non meublé;22.3;26.76;15.61;2021;PARIS;7511557
7;60;Javel 15Art;2;1946-1970;meublé;26.2;31.44;18.34;2021;PARIS;7511560
2;22;Odeon;2;Avant 1946;meublé;32.2;38.64;22.54;2021;PARIS;7510622
2;21;Monnaie;1;1971-1990;non meublé;28.5;34.2;19.95;2021;PARIS;7510621
14;79;Père-Lachaise;3;1946-1970;meublé;21.8;26.16;15.26;2021;PARIS;7512079
1;25;Saint-Thomas-d'Aquin;2;Avant 1946;non meublé;28.7;34.44;20.09;2021;PARIS;7510725
1;26;Invalides;4;Apres 1990;non meublé;30.5;36.6;21.35;2021;PARIS;7510726
6;58;Necker;2;1971-1990;meublé;28.7;34.44;20.09;2021;PARIS;7511558
11;68;Epinettes;3;Avant 1946;non meublé;23.3;27.96;16.31;2021;PARIS;7511768
1;28;Gros-Caillou;3;1946-1970;non meublé;25.9;31.08;18.13;2021;PARIS;7510728
14;45;Bel-Air;4;Avant 1946;meublé;22.3;26.76;15.61;2021;PARIS;7511245
5;33;Saint-Georges;2;Apres 1990;meublé;28.8;34.56;20.16;2021;PARIS;7510933
4;10;Enfants-Rouges;3;1946-1970;meublé;24.6;29.52;17.22;2021;PARIS;7510310
4;11;Archives;3;Avant 1946;meublé;28.5;34.2;19.95;2021;PARIS;7510311
2;15;Arsenal;3;Avant 1946;meublé;30.9;37.08;21.63;2021;PARIS;7510415
11;41;Folie-Méricourt;1;1946-1970;meublé;27.7;33.24;19.39;2021;PARIS;7511141
14;79;Père-Lachaise;3;Avant 1946;meublé;23.4;28.08;16.38;2021;PARIS;7512079
4;12;Sainte-Avoie;2;Apres 1990;non meublé;24.2;29.04;16.94;2021;PARIS;7510312
14;79;Père-Lachaise;4;Avant 1946;meublé;22.3;26.76;15.61;2021;PARIS;7512079
2;15;Arsenal;1;1971-1990;non meublé;28.5;34.2;19.95;2021;PARIS;7510415
4;17;Saint-Victor;3;Apres 1990;meublé;26.8;32.16;18.76;2021;PARIS;7510517
11;39;Porte-Saint-Martin;3;Apres 1990;non meublé;21.4;25.68;14.98;2021;PARIS;7511039
1;25;Saint-Thomas-d'Aquin;4;Apres 1990;meublé;34.3;41.16;24.01;2021;PARIS;7510725
13;78;Saint-Fargeau;1;1971-1990;non meublé;21.3;25.56;14.91;2021;PARIS;7512078
5;36;Rochechouart;4;1946-1970;non meublé;21.4;25.68;14.98;2021;PARIS;7510936
11;41;Folie-Méricourt;4;1971-1990;meublé;23.3;27.96;16.31;2021;PARIS;7511141
2;34;Chaussée-d'Antin;1;1971-1990;meublé;32.1;38.52;22.47;2021;PARIS;7510934
1;28;Gros-Caillou;3;1971-1990;non meublé;27.2;32.64;19.04;2021;PARIS;7510728
13;72;La Chapelle;3;Avant 1946;meublé;23.2;27.84;16.24;2021;PARIS;7511872
10;44;Sainte-Marguerite;1;Apres 1990;meublé;32.9;39.48;23.03;2021;PARIS;7511144
14;76;Combat;2;1971-1990;non meublé;20.0;24.0;14.0;2021;PARIS;7511976
9;70;Clignancourt;1;Avant 1946;meublé;30.4;36.48;21.28;2021;PARIS;7511870
7;60;Javel 15Art;3;Apres 1990;non meublé;24.8;29.76;17.36;2021;PARIS;7511560
10;67;Batignolles;4;Apres 1990;non meublé;23.6;28.32;16.52;2021;PARIS;7511767
2;34;Chaussée-d'Antin;4;1946-1970;meublé;26.1;31.32;18.27;2021;PARIS;7510934
5;36;Rochechouart;3;1946-1970;non meublé;20.0;24.0;14.0;2021;PARIS;7510936
3;62;Muette;2;1946-1970;non meublé;26.3;31.56;18.41;2021;PARIS;7511662
2;3;Palais-Royal;3;1971-1990;non meublé;23.1;27.72;16.17;2021;PARIS;7510103
11;40;Hôpital-Saint-Louis;4;1971-1990;meublé;23.3;27.96;16.31;2021;PARIS;7511040
14;45;Bel-Air;2;1946-1970;non meublé;21.0;25.2;14.7;2021;PARIS;7511245
5;52;Croulebarbe;2;Apres 1990;meublé;28.8;34.56;20.16;2021;PARIS;7511352
2;13;Saint-Merri;1;1971-1990;meublé;32.1;38.52;22.47;2021;PARIS;7510413
13;50;Gare;4;1971-1990;non meublé;14.4;17.28;10.08;2021;PARIS;7511350
2;31;Madeleine;4;1971-1990;meublé;25.2;30.24;17.64;2021;PARIS;7510831
4;7;Mail;1;1946-1970;meublé;33.8;40.56;23.66;2021;PARIS;7510207
8;57;Saint-Lambert;3;1971-1990;non meublé;22.5;27.0;15.75;2021;PARIS;7511557
5;53;Montparnasse;4;1971-1990;meublé;24.8;29.76;17.36;2021;PARIS;7511453
3;63;Porte-Dauphine;2;Avant 1946;meublé;28.7;34.44;20.09;2021;PARIS;7511663
11;68;Epinettes;1;Avant 1946;non meublé;28.6;34.32;20.02;2021;PARIS;7511768
12;51;Maison-Blanche;4;1971-1990;meublé;24.4;29.28;17.08;2021;PARIS;7511351
2;15;Arsenal;3;Avant 1946;non meublé;27.5;33.0;19.25;2021;PARIS;7510415
3;63;Porte-Dauphine;2;1946-1970;non meublé;26.3;31.56;18.41;2021;PARIS;7511663
2;5;Gaillon;3;1946-1970;non meublé;22.0;26.4;15.4;2021;PARIS;7510205
13;73;Villette;3;Apres 1990;meublé;20.6;24.72;14.42;2021;PARIS;7511973
13;73;Villette;1;Avant 1946;non meublé;26.4;31.68;18.48;2021;PARIS;7511973
11;71;Goutte-d'Or;3;1946-1970;meublé;21.6;25.92;15.12;2021;PARIS;7511871
1;25;Saint-Thomas-d'Aquin;3;Apres 1990;non meublé;29.3;35.16;20.51;2021;PARIS;7510725
11;68;Epinettes;1;1946-1970;non meublé;24.6;29.52;17.22;2021;PARIS;7511768
11;77;Belleville;1;Avant 1946;non meublé;28.6;34.32;20.02;2021;PARIS;7512077
13;74;Pont-de-Flandre;4;1946-1970;meublé;16.2;19.44;11.34;2021;PARIS;7511974
11;68;Epinettes;3;1971-1990;non meublé;19.8;23.76;13.86;2021;PARIS;7511768
2;29;Champs-Elysées;4;Avant 1946;meublé;29.0;34.8;20.3;2021;PARIS;7510829
13;72;La Chapelle;2;Apres 1990;meublé;23.9;28.68;16.73;2021;PARIS;7511872
2;22;Odeon;1;Avant 1946;meublé;37.2;44.64;26.04;2021;PARIS;7510622
8;57;Saint-Lambert;1;Avant 1946;non meublé;28.0;33.6;19.6;2021;PARIS;7511557
5;33;Saint-Georges;4;Apres 1990;non meublé;21.6;25.92;15.12;2021;PARIS;7510933
1;26;Invalides;2;1946-1970;non meublé;26.9;32.28;18.83;2021;PARIS;7510726
12;51;Maison-Blanche;2;1946-1970;non meublé;22.1;26.52;15.47;2021;PARIS;7511351
3;62;Muette;2;Avant 1946;meublé;28.7;34.44;20.09;2021;PARIS;7511662
6;66;Plaine de Monceaux;2;1971-1990;non meublé;25.5;30.6;17.85;2021;PARIS;7511766
10;44;Sainte-Marguerite;1;1971-1990;meublé;30.4;36.48;21.28;2021;PARIS;7511144
12;56;Plaisance;1;Apres 1990;non meublé;26.8;32.16;18.76;2021;PARIS;7511456
6;66;Plaine de Monceaux;2;Apres 1990;meublé;26.7;32.04;18.69;2021;PARIS;7511766
4;17;Saint-Victor;3;1971-1990;non meublé;24.4;29.28;17.08;2021;PARIS;7510517
2;15;Arsenal;3;1946-1970;non meublé;22.0;26.4;15.4;2021;PARIS;7510415
11;77;Belleville;4;1971-1990;non meublé;20.7;24.84;14.49;2021;PARIS;7512077
9;69;Grandes-Carrières;1;1971-1990;non meublé;24.7;29.64;17.29;2021;PARIS;7511869
6;65;Ternes;2;Apres 1990;meublé;26.7;32.04;18.69;2021;PARIS;7511765
11;68;Epinettes;1;1971-1990;non meublé;26.0;31.2;18.2;2021;PARIS;7511768
2;4;Place-Vendôme;4;1971-1990;meublé;25.2;30.24;17.64;2021;PARIS;7510104
2;21;Monnaie;4;1946-1970;non meublé;23.2;27.84;16.24;2021;PARIS;7510621
13;72;La Chapelle;1;1971-1990;non meublé;21.3;25.56;14.91;2021;PARIS;7511872
4;8;Bonne-Nouvelle;4;Apres 1990;non meublé;25.1;30.12;17.57;2021;PARIS;7510208
4;14;Saint-Gervais;4;1971-1990;non meublé;22.9;27.5;16.0;2019;PARIS;7510414
2;13;Saint-Merri;4;Avant 1946;non meublé;25.4;30.5;17.8;2019;PARIS;7510413
5;53;Montparnasse;1;1946-1970;meublé;29.8;35.8;20.9;2019;PARIS;7511453
3;62;Muette;2;Apres 1990;meublé;29.6;35.5;20.7;2019;PARIS;7511662
4;17;Saint-Victor;3;Avant 1946;meublé;27.8;33.4;19.5;2019;PARIS;7510517
11;43;Roquette;3;1946-1970;meublé;21.1;25.3;14.8;2019;PARIS;7511143
11;54;Parc-de-Montsouris;1;1971-1990;non meublé;24.4;29.3;17.1;2019;PARIS;7511454
7;60;Javel 15Art;2;1946-1970;meublé;25.8;31.0;18.1;2019;PARIS;7511560
1;27;Ecole-Militaire;2;1946-1970;meublé;29.3;35.2;20.5;2019;PARIS;7510727
1;23;Notre-Dame-des-Champs;1;Avant 1946;meublé;35.1;42.1;24.6;2019;PARIS;7510623
1;25;Saint-Thomas-d'Aquin;4;Apres 1990;meublé;33.0;39.6;23.1;2019;PARIS;7510725
5;52;Croulebarbe;3;1971-1990;non meublé;21.3;25.6;14.9;2019;PARIS;7511352
10;55;Petit-Montrouge;2;1946-1970;non meublé;20.9;25.1;14.6;2019;PARIS;7511455
2;24;Saint-Germain-des-Prés;4;1946-1970;non meublé;22.3;26.8;15.6;2019;PARIS;7510624
2;31;Madeleine;1;1971-1990;meublé;31.0;37.2;21.7;2019;PARIS;7510831
1;28;Gros-Caillou;1;Avant 1946;non meublé;31.1;37.3;21.8;2019;PARIS;7510728
2;21;Monnaie;4;Avant 1946;non meublé;25.4;30.5;17.8;2019;PARIS;7510621
9;46;Picpus;2;1946-1970;meublé;22.1;26.5;15.5;2019;PARIS;7511246
10;49;Salpêtrière;3;1946-1970;meublé;23.1;27.7;16.2;2019;PARIS;7511349
10;44;Sainte-Marguerite;1;Avant 1946;non meublé;28.5;34.2;20.0;2019;PARIS;7511144
3;62;Muette;3;1971-1990;non meublé;25.0;30.0;17.5;2019;PARIS;7511662
5;37;Saint-Vincent-de-Paul;4;Apres 1990;meublé;23.3;28.0;16.3;2019;PARIS;7511037
5;36;Rochechouart;2;Apres 1990;non meublé;24.5;29.4;17.2;2019;PARIS;7510936
11;43;Roquette;4;1971-1990;non meublé;20.1;24.1;14.1;2019;PARIS;7511143
11;41;Folie-Méricourt;4;Apres 1990;non meublé;21.1;25.3;14.8;2019;PARIS;7511141
9;70;Clignancourt;1;Avant 1946;non meublé;26.4;31.7;18.5;2019;PARIS;7511870
1;26;Invalides;3;Apres 1990;non meublé;27.3;32.8;19.1;2019;PARIS;7510726
13;78;Saint-Fargeau;4;Avant 1946;meublé;22.3;26.8;15.6;2019;PARIS;7512078
10;42;Saint-Ambroise;1;1971-1990;meublé;29.6;35.5;20.7;2019;PARIS;7511142
5;38;Porte-Saint-Denis;1;Apres 1990;non meublé;27.7;33.2;19.4;2019;PARIS;7511038
5;53;Montparnasse;4;Avant 1946;non meublé;19.8;23.8;13.9;2019;PARIS;7511453
13;75;Amérique;2;Apres 1990;meublé;23.4;28.1;16.4;2019;PARIS;7511975
6;66;Plaine de Monceaux;1;Avant 1946;meublé;31.6;37.9;22.1;2019;PARIS;7511766
9;69;Grandes-Carrières;1;1971-1990;meublé;26.9;32.3;18.8;2019;PARIS;7511869
14;47;Bercy;3;Apres 1990;non meublé;22.7;27.2;15.9;2019;PARIS;7511247
4;19;Val-de-Grace;2;1971-1990;non meublé;23.0;27.6;16.1;2021;PARIS;7510519
4;12;Sainte-Avoie;2;Avant 1946;meublé;30.8;37.0;21.6;2019;PARIS;7510312
10;55;Petit-Montrouge;4;Avant 1946;meublé;23.7;28.4;16.6;2019;PARIS;7511455
12;51;Maison-Blanche;3;Avant 1946;meublé;24.3;29.2;17.0;2019;PARIS;7511351
5;53;Montparnasse;2;1946-1970;non meublé;22.9;27.5;16.0;2019;PARIS;7511453
10;18;Jardin-des-Plantes;4;1971-1990;non meublé;21.6;25.9;15.1;2019;PARIS;7510518
6;58;Necker;4;Apres 1990;non meublé;23.6;28.3;16.5;2019;PARIS;7511558
2;13;Saint-Merri;3;1946-1970;meublé;24.8;29.76;17.36;2021;PARIS;7510413
2;16;Notre-Dame;4;1971-1990;non meublé;22.4;26.88;15.68;2021;PARIS;7510416
2;15;Arsenal;1;Avant 1946;meublé;36.6;43.9;25.6;2019;PARIS;7510415
2;24;Saint-Germain-des-Prés;4;Avant 1946;non meublé;25.4;30.5;17.8;2019;PARIS;7510624
4;20;Sorbonne;2;Avant 1946;non meublé;27.3;32.8;19.1;2019;PARIS;7510520
2;29;Champs-Elysées;1;1971-1990;meublé;31.0;37.2;21.7;2019;PARIS;7510829
1;28;Gros-Caillou;1;1946-1970;meublé;34.0;40.8;23.8;2019;PARIS;7510728
2;21;Monnaie;3;1946-1970;meublé;24.3;29.2;17.0;2019;PARIS;7510621
14;79;Père-Lachaise;4;Avant 1946;non meublé;20.2;24.2;14.1;2019;PARIS;7512079
1;25;Saint-Thomas-d'Aquin;3;1971-1990;non meublé;26.2;31.4;18.3;2019;PARIS;7510725
2;30;Faubourg-du-Roule;2;Apres 1990;meublé;29.9;35.9;20.9;2019;PARIS;7510830
